Block,Time,CHAMERA1,BSIUL,CHAMERA2,SALAL,SEWA2,CHAMERA3,DADRT2,DULHASTI,JHAJJAR,KOLDAM,KOTESHWR,NJPC,PARBATI3,RAMPUR,RAPPC,RIHAND1,RIHAND2,DHAULIGNGA,SINGRAULI,KISHANGANGA,RIHAND3,NAPP,RAPPB,SINGRAULI_HYDRO,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,UNCHAHAR4,URI2,TANDA2,UNCHAHAR2,URI,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,SIMHST2,NTPL,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,MAPS,KHSTPP-II,KHSTPP-I,FSTPP I & II,TALA,BRBCL,SASAN
32,07:45:08:00,42.14808,0,44.219014,69.72,5.802949,32.084375,686.059097,0,413.807464,5.348961,38.641619,167.094861,0,3.533363,60.087841,94.648349,121.704045,40.404278,127.751375,4.368913,127.60189,43.549674,0,1.063603,0,64.850998,20.954002,0,1.620974,16.253504,2.89881,43.709279,33.12,0,47.309776,0,0,0,76.719731,0,0,0,76.455759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,8.7318,15.00135,339.75

33,08:00-08:15,42.14808,0,44.219014,69.72,5.802949,32.084375,686.059097,17.692392,413.807464,5.348961,38.641619,167.094861,0,3.533363,60.087841,94.648349,121.704045,40.404278,127.751375,4.368913,127.60189,43.549674,0,1.063603,0,64.850998,20.954002,0,1.620974,16.253504,2.89881,43.709279,38.64,0,46.718404,0,0,0,76.719731,0,0,0,76.455759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,8.7318,15.00135,339.75

34,08:15-08:30,42.14808,0,44.219014,69.72,5.802949,32.084375,686.059097,35.384782,413.807464,5.348961,38.641619,167.094861,0,3.533363,60.087841,94.648349,121.704045,40.404278,127.751375,4.368913,127.60189,43.549674,0,1.063603,0,64.850998,20.954002,0,1.620974,16.253504,2.89881,43.709279,38.64,0,46.718404,0,0,0,76.719731,0,0,0,76.455759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,8.7318,15.00135,339.75

35,08:30-08:45,42.14808,0,44.219014,69.72,5.802949,32.084375,686.059097,53.077174,413.807464,5.348961,38.641619,167.094861,0,3.533363,60.087841,94.648349,121.704045,40.404278,127.751375,4.368913,127.60189,43.549674,0,1.063603,0,64.850998,20.954002,0,1.620974,16.253504,2.89881,43.709279,33.12,0,46.718404,0,0,0,76.719731,0,0,0,76.455759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,0.294,15.00135,339.75

36,08:45:09:00,42.14808,0,44.219014,69.72,5.802949,32.084375,686.059097,53.077174,413.807464,5.348961,38.641619,167.094861,0,3.533363,60.087841,94.648349,121.704045,40.404278,127.751375,4.368913,127.60189,43.549674,0,1.063603,0,64.850998,20.954002,0,1.620974,16.253504,2.89881,43.709279,33.12,0,46.718404,0,0,0,76.719731,0,0,0,76.455759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,0.294,15.00135,339.75

