Time,Block,NR/2024/18691/A/7730,NR/2024/18388/A/7430,WR/2024/21740/A/7733,WR/2024/21710/A/7729,WR/2024/21675/A/7696,NER/2024/2023/A/7692,NR/2024/18749/C,Total
60,14:45-15:00,191.900000,0.970000,50.000000,0.000000,0.000000,25.000000,6.09,273.96

61,15:00-15:15,191.900000,0.770000,50.000000,0.000000,0.000000,25.000000,5.71,273.38

62,15:15-15:30,191.900000,0.770000,50.000000,0.000000,0.000000,25.000000,5.22,272.89

63,15:30-15:45,191.900000,0.770000,50.000000,0.000000,0.000000,25.000000,4.84,272.51

64,15:45-16:00,191.900000,0.770000,50.000000,0.000000,0.000000,25.000000,4.16,271.83

65,16:00-16:15,191.900000,0.530000,50.000000,0.000000,0.000000,25.000000,3.87,271.3

66,16:15-16:30,191.900000,0.530000,50.000000,0.000000,0.000000,25.000000,2.96,270.39

67,16:30-16:45,191.900000,0.530000,50.000000,0.000000,0.000000,25.000000,2.59,270.02

68,16:45-17:00,191.900000,0.530000,50.000000,0.000000,0.000000,25.000000,2.49,269.92

69,17:00-17:15,191.900000,0.530000,50.000000,0.000000,0.000000,25.000000,1.97,269.4

70,17:15-17:30,191.900000,0.530000,50.000000,0.000000,0.000000,25.000000,1.97,269.4

71,17:30-17:45,191.900000,0.530000,50.000000,0.000000,0.000000,25.000000,1.33,268.76

72,17:45-18:00,191.900000,0.530000,50.000000,0.000000,0.000000,25.000000,0.81,268.24

73,18:00-18:15,30.600000,0.530000,50.000000,25.000000,57.760000,25.000000,0.38,189.27

74,18:15-18:30,30.600000,0.530000,50.000000,25.000000,57.760000,25.000000,0.12,189.01

75,18:30-18:45,30.600000,0.530000,50.000000,25.000000,57.760000,25.000000,0,188.89

76,18:45-19:00,30.600000,0.530000,50.000000,25.000000,57.760000,25.000000,0,188.89

77,19:00-19:15,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

78,19:15-19:30,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

79,19:30-19:45,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

80,19:45-20:00,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

81,20:00-20:15,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

82,20:15-20:30,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

83,20:30-20:45,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

84,20:45-21:00,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

85,21:00-21:15,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

86,21:15-21:30,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

87,21:30-21:45,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

88,21:45-22:00,30.600000,0.630000,50.000000,25.000000,57.760000,25.000000,0,188.99

89,22:00-22:15,0.000000,0.530000,50.000000,0.000000,57.760000,25.000000,0,133.29

90,22:15-22:30,0.000000,0.530000,50.000000,0.000000,57.760000,25.000000,0,133.29

91,22:30-22:45,0.000000,0.530000,50.000000,0.000000,57.760000,25.000000,0,133.29

92,22:45-23:00,0.000000,0.530000,50.000000,0.000000,57.760000,25.000000,0,133.29

93,23:00-23:15,0.000000,0.480000,50.000000,0.000000,0.000000,25.000000,0,75.48

94,23:15-23:30,0.000000,0.480000,50.000000,0.000000,0.000000,25.000000,0,75.48

95,23:30-23:45,0.000000,0.480000,50.000000,0.000000,0.000000,25.000000,0,75.48

96,23:45-24:00,0.000000,0.480000,50.000000,0.000000,0.000000,25.000000,0,75.48

