timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,GBHHPL
75,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,46.9220,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.6233,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,10.5877,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,8.1179,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.6334,11.2258,5.0377,0.0000,0.0000,3.6172,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,10.4100,0.0000,0.0000,2.3200,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,23.5600,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
76,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,46.9220,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.1333,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,10.5877,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,8.1179,0.0000,0.0000,0.0000,15.9199,9.6979,13.0881,0.0000,8.6334,11.2258,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0500,10.4100,0.0000,0.0000,0.2300,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,22.9900,0.0000,0.0000,0.0000,0.0000,0.0000,8.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
77,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,47.4589,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,12.2198,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,8.1179,0.0000,0.0000,0.0000,15.9199,9.6979,13.0881,0.0000,8.7499,11.5111,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,22.6100,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
78,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,47.4589,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,12.2198,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,8.1179,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.7499,11.5111,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,22.2700,0.0000,0.0000,0.0000,0.0000,0.0000,3.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
79,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,47.4589,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,12.2198,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,8.1179,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.7499,11.5111,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
80,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,47.4589,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,12.2198,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,8.1179,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.7499,11.5111,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,21.0300,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
81,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,47.4589,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,12.2198,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,7.6669,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.7499,11.5111,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,20.2300,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
82,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,47.4589,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,12.2198,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,7.6669,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.7499,11.5111,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,19.4400,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
83,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,47.4589,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,12.2198,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,7.6669,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.7499,11.5111,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,18.9100,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
84,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,46.9220,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,10.5877,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,7.6669,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.6334,11.2258,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,18.4700,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
85,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,46.9220,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,9.6795,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,7.6669,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.6334,11.2258,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,18.3500,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
86,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,46.9220,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.3078,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,9.6795,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,7.6669,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.6334,11.2258,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,18.2700,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
87,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,46.9220,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,9.6795,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,7.6669,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.6334,11.2258,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,16.6200,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
88,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,47.4589,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,10.5877,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,7.6669,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.7499,11.5111,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,16.6600,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
89,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,47.4589,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,10.5877,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,7.8479,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.7499,11.5111,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,16.6900,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
90,52EnNDPL2023/07/24,NDPL,0.0000,0.0000,0.0000,0.0000,8.9010,0.0000,0.0000,0.0000,77.6893,0.0000,12.4614,58.8040,0.0000,0.0000,0.0000,0.0000,23.5254,578.4950,47.4589,0.0000,69.6064,0.0000,0.0000,115.8900,0.0000,271.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.4089,0.0000,0.0000,4.3719,28.2256,36.2423,0.0000,64.2393,42.7403,6.1329,13.0053,8.0965,9.8698,45.2591,0.0000,2.5771,19.9911,17.1501,0.0000,19.0971,10.5877,4.8474,0.0000,3.6286,0.0000,0.0000,0.0000,15.5732,7.8479,0.0000,0.0000,0.0000,14.3951,9.6979,13.0881,0.0000,8.7499,11.5111,5.0377,0.0000,0.0000,2.9882,0.0000,0.0000,0.0000,0.0000,266.4620,0.0000,1.0700,10.4100,0.0000,0.0000,200.0000,11.8800,100.0000,9.6642,0.6658,2.3532,0.0000,0.0000,14.8600,0.0000,0.0000,0.0000,0.0000,0.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3721,0.0000
