timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG
11,72EnBRPL2025/01/20,BRPL,0.0000,36.7770,0.0000,0.0000,0.0000,0.0000,0.0000,25.4610,61.3183,0.0000,34.8852,0.0000,0.0000,0.0000,0.0000,0.0000,39.6158,9.4415,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6224,0.0000,0.0000,9.1354,63.7744,52.1550,73.6720,62.1120,24.8897,4.5106,18.6177,11.5905,14.7966,65.1334,0.0000,19.6893,24.6128,30.3268,0.0000,0.0000,6.1556,0.0000,0.0000,30.6464,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,10.3519,0.4875,1.8930,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0444,0.9004,0.0000,0.0000,0.0000,0.0000,317.5056,0.0000,0.0000,0.0000,16.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,8.0000,28.6600,0.0000,0.0000,0.0000,0.0000,0.0000,5.0898,24.7300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
12,72EnBRPL2025/01/20,BRPL,0.0000,36.7770,0.0000,0.0000,0.0000,0.0000,0.0000,25.4610,61.3183,0.0000,34.8852,0.0000,0.0000,0.0000,0.0000,0.0000,39.6158,9.4415,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6224,0.0000,0.0000,9.1354,63.7744,52.1550,73.6720,62.1120,24.8897,4.5106,18.6177,11.5905,14.7966,65.1334,0.0000,19.7860,24.6128,30.3268,0.0000,0.0000,6.1556,0.0000,0.0000,30.6464,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,10.3519,0.4875,1.8930,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0444,0.9004,0.0000,0.0000,0.0000,0.0000,317.5056,0.0000,0.0000,0.0000,17.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.6700,27.3400,0.0000,0.0000,0.0000,0.0000,0.0000,5.0898,24.7300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
13,72EnBRPL2025/01/20,BRPL,0.0000,36.7770,0.0000,0.0000,0.0000,0.0000,0.0000,25.4610,61.3183,0.0000,34.8852,0.0000,0.0000,0.0000,0.0000,0.0000,39.6158,9.4415,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6224,0.0000,0.0000,9.1354,63.7744,52.1550,73.6720,62.1120,24.8897,4.5106,18.6177,11.5905,14.7966,65.1334,0.0000,19.7860,24.6128,30.3268,0.0000,0.0000,6.1556,0.0000,0.0000,30.6464,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,10.3519,0.4875,1.8930,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0444,0.9004,0.0000,0.0000,0.0000,0.0000,317.5056,0.0000,0.0000,0.0000,14.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.6700,21.3400,0.0000,0.0000,0.0000,0.0000,0.0000,5.0898,24.7300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
14,72EnBRPL2025/01/20,BRPL,0.0000,36.7770,0.0000,0.0000,0.0000,0.0000,0.0000,25.4610,61.3183,0.0000,34.8852,0.0000,0.0000,0.0000,0.0000,0.0000,39.6158,9.4415,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6224,0.0000,0.0000,9.1354,63.7744,52.1550,73.6720,62.1120,24.8897,4.5106,18.6177,11.5905,14.7966,65.1334,0.0000,19.7860,24.6128,30.3268,0.0000,0.0000,6.1556,0.0000,0.0000,30.6464,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,10.3519,0.4875,1.8930,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0444,0.9004,0.0000,0.0000,0.0000,0.0000,317.5056,0.0000,0.0000,0.0000,14.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.6700,20.6600,0.0000,0.0000,0.0000,0.0000,0.0000,9.3036,24.7300,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
15,72EnBRPL2025/01/20,BRPL,0.0000,36.7770,0.0000,0.0000,0.0000,0.0000,0.0000,25.4610,61.3183,0.0000,34.8852,0.0000,0.0000,0.0000,0.0000,0.0000,39.6158,9.4415,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6224,0.0000,0.0000,9.1354,63.7744,52.1550,73.6720,62.1120,24.8897,4.5106,18.6177,11.5905,14.7966,65.1334,0.0000,19.7860,24.6128,30.3268,0.0000,0.0000,6.1556,0.0000,0.0000,30.6464,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,10.3519,0.4875,1.8930,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0444,0.9004,0.0000,0.0000,0.0000,0.0000,317.5056,0.0000,0.0000,0.0000,14.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.0100,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.6700,20.6600,0.0000,0.0000,0.0000,0.0000,0.0000,9.3036,24.2200,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
16,72EnBRPL2025/01/20,BRPL,0.0000,36.7770,0.0000,0.0000,0.0000,0.0000,0.0000,25.4610,61.3183,0.0000,34.8852,0.0000,0.0000,0.0000,0.0000,0.0000,39.6158,9.4415,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6224,0.0000,0.0000,9.1354,63.7744,52.1550,73.6720,62.1120,24.8897,4.5106,18.6177,11.5905,14.7966,65.1334,0.0000,19.7860,24.6128,30.3268,0.0000,0.0000,6.1556,0.0000,0.0000,30.6464,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,10.3519,0.4875,1.8930,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0444,0.9004,0.0000,0.0000,0.0000,0.0000,317.5056,0.0000,0.0000,0.0000,15.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.0100,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.3300,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3036,24.2200,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
17,72EnBRPL2025/01/20,BRPL,0.0000,36.7770,0.0000,0.0000,0.0000,0.0000,0.0000,25.4610,61.3183,0.0000,34.8852,0.0000,0.0000,0.0000,0.0000,0.0000,39.6158,9.4415,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6224,0.0000,0.0000,9.1354,63.7744,52.1550,73.6720,62.1120,24.8897,4.5106,18.6177,11.5905,14.7966,65.1334,0.0000,19.7860,24.6128,30.3268,0.0000,0.0000,6.1556,0.0000,0.0000,30.6464,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,10.3519,0.4875,1.8930,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0444,1.2385,0.0000,0.0000,0.0000,0.0000,317.5056,0.0000,0.0000,0.0000,13.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4900,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.3300,19.3400,0.0000,0.0000,0.0000,0.0000,0.0000,9.3036,24.2200,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
18,72EnBRPL2025/01/20,BRPL,0.0000,36.7770,0.0000,0.0000,0.0000,0.0000,0.0000,25.4610,61.3183,0.0000,34.8852,0.0000,0.0000,0.0000,0.0000,0.0000,39.6158,9.4415,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6224,0.0000,0.0000,9.1354,63.7744,52.1550,73.6720,62.1120,24.8897,4.5106,18.6177,11.5905,14.7966,65.1334,0.0000,19.7860,24.6128,30.3268,0.0000,0.0000,6.1556,0.0000,0.0000,30.6464,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,10.3519,0.4875,1.8930,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0444,1.2385,0.0000,0.0000,0.0000,0.0000,317.5056,0.0000,0.0000,0.0000,13.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4900,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.3300,19.3400,0.0000,0.0000,0.0000,0.0000,0.0000,9.3036,24.2200,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
19,72EnBRPL2025/01/20,BRPL,0.0000,36.7770,0.0000,0.0000,0.0000,0.0000,0.0000,25.4610,61.3183,0.0000,34.8852,0.0000,0.0000,0.0000,0.0000,0.0000,39.6158,9.4415,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6224,0.0000,0.0000,9.1354,63.7744,52.1550,73.6720,62.1120,24.8897,4.5106,18.6177,11.5905,14.7966,65.1334,0.0000,19.8738,24.6128,30.3268,0.0000,0.0000,6.1556,0.0000,0.0000,30.6464,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,10.3519,0.4875,1.8930,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0444,1.2385,0.0000,0.0000,0.0000,0.0000,317.5056,0.0000,0.0000,0.0000,16.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4900,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.0000,18.6600,0.0000,0.0000,0.0000,0.0000,0.0000,9.3036,24.2200,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
20,72EnBRPL2025/01/20,BRPL,0.0000,36.7770,0.0000,0.0000,0.0000,0.0000,0.0000,25.4610,61.3183,0.0000,34.8852,0.0000,0.0000,0.0000,0.0000,0.0000,39.6158,9.4415,0.0000,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6224,0.0000,0.0000,9.1354,63.7744,52.1550,73.6720,62.1120,24.8897,4.5106,18.6177,11.5905,14.7966,65.1334,0.0000,19.8738,24.6128,30.3268,0.0000,0.0000,6.1556,0.0000,0.0000,30.6464,0.0000,0.0000,0.0000,23.6861,0.0000,0.0000,0.0000,10.3519,0.4875,1.8930,0.0000,0.0000,0.0000,0.0000,7.2380,0.0000,1.0444,1.2385,0.0000,0.0000,0.0000,0.0000,317.5056,0.0000,0.0000,0.0000,16.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4900,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,7.0000,19.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3036,24.2200,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
