genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
13,0,0,0,7.05235575,0,0,0,10.62864,,2.2003696,7.112391,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,11.8401833,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,31.9863544,0,,,20.7521325,,1.240239,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
14,0,0,0,7.05235575,0,0,0,10.62864,,2.2003696,4.741594,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,11.8401833,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,32.4613575,0,,,20.7521325,,1.240239,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
15,0,0,0,7.05235575,0,0,0,10.62864,,2.2003696,4.741594,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,11.8401833,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,32.9363606,0,,,21.5108025,,1.240239,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
16,0,0,0,7.05235575,0,0,0,10.62864,,2.2003696,4.741594,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,15.7892889,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.41052,0,,,22.52184,,1.240239,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
17,0,0,0,7.05235575,0,0,0,10.62864,,2.2003696,4.741594,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.8846794,0,,,23.565795,,1.240239,,1.0579998,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
18,0,0,0,7.05235575,0,0,0,10.62864,,2.2003696,2.370797,6.6684222,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.549515,0,,,23.565795,,1.240239,,1.0579998,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
19,0,0,0,7.05235575,0,0,0,10.62864,,2.2003696,2.370797,4.4442486,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.549515,0,,,23.565795,,1.240239,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
20,0,0,0,7.05235575,0,0,0,10.62864,,2.2003696,2.370797,4.4442486,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.549515,0,,,23.565795,,1.240239,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
21,0,0,0,7.05235575,0,0,0,10.62864,,2.2003696,2.370797,4.4442486,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.549515,0,,,23.565795,,1.240239,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
22,0,0,0,6.99834575,0,0,0,10.62864,,2.2003696,2.370797,4.4442486,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.549515,0,,,23.565795,,1.240239,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
23,0,0,0,6.99834575,0,0,0,10.62864,,2.2003696,2.370797,4.4442486,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.549515,0,,,23.565795,,1.240239,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
24,0,0,0,6.99834575,0,0,0,10.62864,,2.2003696,2.370797,4.4442486,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.549515,0,,,23.565795,,1.240239,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
25,0,0,0,6.99834575,0,0,0,10.62864,,2.2003696,2.370797,4.4442486,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,0.8887725,,,23.565795,,0.7441434,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
26,0,0,0,6.99834575,0,0,0,10.62864,,2.2003696,0,4.4442486,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,1.77895575,,,23.565795,,0.7441434,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
27,0,0,0,6.99834575,0,0,0,10.62864,,2.2003696,0,4.4442486,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,255.11680535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,1.77895575,,,23.565795,,0.7441434,,0.0860574,0,,,3.5657985,7.0757225,4.4514976,0,6.1471982,5.3833395,
28,0,0,0,6.99834575,0,0,0,10.62864,,2.2003696,0,4.4442486,3.2668999,0,0,0,13.318932,4.1059216,1.54236225,8.3416025,2.412982,317.63266535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,2.0688987,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,1.77895575,,,23.565795,,0.7441434,,0.1738022,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
29,0,0,0,6.99834575,0,0,0,10.62864,,2.2003696,0,4.4442486,3.2668999,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,317.63266535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,2.4857415,,,23.565795,,0.7441434,,0.1738022,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
30,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,4.4442486,3.2668999,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,317.63266535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,2.6663175,,,23.565795,,0.7441434,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
31,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,4.4442486,3.2668999,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,317.63266535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,2.6663175,,,23.565795,,0.7441434,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
32,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,4.4442486,3.2668999,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,317.63266535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,19.7355411,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,2.6663175,,,23.565795,,0.7441434,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
33,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,4.4442486,3.2668999,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,317.63266535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,15.7892889,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,2.6663175,,,23.565795,,0.2480478,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
34,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,4.4442486,3.2668999,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,317.63266535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,15.7892889,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,2.6663175,,,23.565795,,0.2480478,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
35,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,308.16056535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,15.7892889,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,2.6663175,,,23.565795,,0.2480478,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
36,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,308.16056535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,11.8401833,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,2.6663175,,,23.565795,,0.2480478,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
37,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,293.95241535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,11.8401833,,,,,,,1.82102745,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,2.6663175,,,23.565795,,0.2480478,,1.0579998,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
38,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,293.95241535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,7.8939311,,,,,,,1.2426612,2.3637064,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,33.2206875,2.6663175,,,23.565795,,0.2480478,,1.0579998,0,,,3.5657985,7.155225,4.4514976,0,6.1471982,5.3833395,
39,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,289.21636535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,6.9523091,,,,,,,1.2426612,0.6007287,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.16985,2.6663175,,,23.565795,,0.2480478,,1.0579998,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
40,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.318932,5.1531216,1.54236225,8.3416025,2.412982,275.00821535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,1.2426612,0.6007287,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.16985,2.6663175,,,23.565795,,0.2480478,,1.0579998,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
41,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,2.2228074,1.6341501,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,275.00821535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,1.2426612,0.6007287,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.16985,2.6663175,,,23.565795,,0.2480478,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
42,0,0,0,6.90922925,0,0,0,10.62864,,2.2003696,0,2.2228074,1.6341501,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,275.00821535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,1.2426612,0.6007287,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.16985,2.6663175,,,23.565795,,0.2480478,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
43,0,0,0,6.90922925,0,0,0,10.62864,,1.1001848,0,2.2228074,1.6341501,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,275.00821535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,1.2426612,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.16985,2.6663175,,,23.565795,,0.5720286,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
44,0,0,0,6.90922925,0,0,0,10.62864,,1.1001848,0,2.2228074,1.6341501,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,275.00821535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,1.2426612,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.4550206,1.77895575,,,23.565795,,0.5720286,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
45,0,0,0,6.82011275,0,0,0,10.62864,,1.1001848,0,2.2228074,1.6341501,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,275.00821535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,0,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,34.7393475,1.77895575,,,23.565795,,0.5720286,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
46,0,0,0,6.82011275,0,0,0,10.62864,,1.1001848,0,2.2228074,1.6341501,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,275.00821535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,0,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0.8887725,,,23.565795,,0.5720286,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
47,0,0,0,6.82011275,0,0,0,10.62864,,1.1001848,0,2.2228074,0,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,275.00821535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,0,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0.5720286,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
48,0,0,0,6.82011275,0,0,0,10.62864,,1.1001848,0,0,0,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,275.00821535,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,0,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0.5720286,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
49,0,0,0,6.7323465,0,0,0,10.62864,,1.1001848,0,0,0,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,173.86513155,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,0,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0.5720286,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
50,0,0,0,6.7323465,0,0,0,10.62864,,1.1001848,0,0,0,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,186.4961769,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,0,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0.5720286,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
51,0,0,0,6.7323465,0,0,0,10.62864,,1.1001848,0,0,0,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,180.1782862,,,7.6827322,25.024142,,,,0,,0,,3.4958858,3.9462522,,,,,,,0,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0.4960956,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
52,0,0,0,6.7323465,0,0,0,10.62864,,1.1001848,0,0,0,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,180.1782862,,,7.6827322,25.024142,,,,0,,0,,3.4958858,7.8939311,,,,,,,0,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0.4960956,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
53,0,0,0,6.7323465,0,0,0,10.62864,,1.1001848,0,0,0,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,180.1782862,,,7.6827322,25.024142,,,,0,,0,,3.4958858,11.8401833,,,,,,,0,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0.4960956,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
54,0,0,0,6.64458025,0,0,0,10.62864,,1.1001848,0,0,0,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,180.1782862,,,7.6827322,25.024142,,,,0,,0,,3.4958858,15.7892889,,,,,,,0,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0.4960956,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
55,0,0,0,6.64458025,0,0,0,10.62864,,1.1001848,0,0,0,0,0,0,13.318932,5.1531216,0,8.3416025,2.412982,180.1782862,,,7.6827322,25.024142,,,,0,,0,,3.4958858,15.7892889,,,,,,,0,0,0,0,8.737355,2.8055115,15.52422795,20.0418075,0,,,0,35.1190125,0,,,23.565795,,0.4960956,,0.0860574,0,,,3.5657985,7.155225,4.4514976,0,6.2400052,5.3833395,
