Time,Block,NR/2024/20930/A/27012,NR/2024/21227/A/27076,NR/2024/21158/A/26831,NR/2024/21156/A/26820,NR/2024/21152/A/26735,NR/2024/21142/A/26777,NR/2024/20711/A/27124,NR/2024/21485/A/27034,NR/2024/21160/A/26817,NR/2024/21199/A/26799,NR/2024/19779/A/26766,NR/2024/21520/C,NR/2024/21210/A/26776,NR/2024/21238/A/27104,NR/2024/21141/A/26780,NR/2024/20966/A/26736,NR/2024/21148/A/26814,NR/2024/21089/A/27052,NR/2024/21186/A/27069,NR/2024/21108/A/27074,NR/2024/21497/C,NR/2024/21104/A/27075,NR/2024/21183/A/27099,NR/2024/21173/A/26864,NR/2024/21312/A/26653,NR/2024/21159/A/26813,NR/2024/21023/A/26800,NR/2024/20877/A/27070,NR/2024/21113/A/27051,NR/2024/21076/A/27097,NR/2024/21062/A/26875,NR/2024/21099/A/26782,NR/2024/21096/A/27080,NR/2024/20574/A/26862,NR/2024/20688/A/26866,NR/2024/21146/A/26819,NR/2024/21153/A/26821,NR/2024/20573/A/26860,NR/2024/21518/C,NR/2024/21075/A/27098,NR/2024/21103/A/27077,NR/2024/21150/A/26815,NR/2024/21087/A/26865,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/21517/C,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21144/A/26812,NR/30092023/31122025/SH-07,NR/2024/21243/A/26796,NR/30092023/26122029/SH-06,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/23072042/L_NR_2012_04,NR/14072024/14072024/HPX-TAMCTG-130724-01664,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/14072024/14072024/IEX_240714_01538_gna,NR/01072024/31072024/R2,NR/2024/21072/A/27054,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21339/A/26773,Total
65,16:00-16:15,163.760000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,61.410000,0.820000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.000000,64.620000,18.010000,20.710000,7.710000,0.880000,81.880000,96.330000,26.270000,90.550000,20.470000,20.470000,24.080000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,2,12.230000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,0.000000,0.000000,8.760000,10.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.270000,0.000000,81.880000,1892.89

66,16:15-16:30,163.760000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,61.410000,0.820000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.000000,64.620000,18.010000,20.710000,7.710000,0.880000,81.880000,96.330000,26.270000,90.550000,20.470000,20.470000,24.080000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,1.18,12.230000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,0.000000,0.000000,8.760000,10.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.270000,0.000000,81.880000,1892.07

67,16:30-16:45,163.760000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,61.410000,0.820000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.000000,64.620000,18.010000,20.710000,7.710000,0.880000,81.880000,96.330000,26.270000,90.550000,20.470000,20.470000,24.080000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0.79,12.230000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,0.000000,0.000000,8.760000,10.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.270000,0.000000,81.880000,1891.68

68,16:45-17:00,163.760000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,61.410000,0.820000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.000000,64.620000,18.010000,20.710000,7.710000,0.880000,81.880000,96.330000,26.270000,90.550000,20.470000,20.470000,24.080000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0.37,12.230000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,0.000000,0.000000,8.760000,10.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.270000,0.000000,81.880000,1891.26

69,17:00-17:15,163.760000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,61.410000,0.820000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.000000,64.620000,18.010000,20.710000,7.710000,0.880000,81.880000,96.330000,26.270000,90.550000,20.470000,20.470000,24.080000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0.39,13.150000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,0.000000,0.000000,8.760000,10.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.270000,0.000000,81.880000,1892.2

70,17:15-17:30,163.760000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,61.410000,0.820000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.000000,64.620000,18.010000,20.710000,7.710000,0.880000,81.880000,96.330000,26.270000,90.550000,20.470000,20.470000,24.080000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0.41,13.150000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,0.000000,0.000000,8.760000,10.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.270000,0.000000,81.880000,1892.22

71,17:30-17:45,163.760000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,61.410000,0.820000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.000000,64.620000,18.010000,20.710000,7.710000,0.880000,81.880000,96.330000,26.270000,90.550000,20.470000,20.470000,24.080000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0.44,13.150000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,0.000000,0.000000,8.760000,10.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.270000,0.000000,81.880000,1892.25

72,17:45-18:00,163.760000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,61.410000,0.820000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.000000,64.620000,18.010000,20.710000,7.710000,0.880000,81.880000,96.330000,26.270000,90.550000,20.470000,20.470000,24.080000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0.36,13.150000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,0.000000,0.000000,8.760000,10.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.270000,0.000000,81.880000,1892.17

73,18:00-18:15,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.000000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,24.080000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0.3,13.150000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1928.05

74,18:15-18:30,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,24.080000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0.13,13.150000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1928.84

75,18:30-18:45,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1947.98

76,18:45-19:00,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0.12,13.150000,0.480000,32.000000,134.860000,25.960000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1948.1

77,19:00-19:15,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,25.160000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1947.18

78,19:15-19:30,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,25.160000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1947.18

79,19:30-19:45,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,25.160000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1947.18

80,19:45-20:00,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,25.160000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1947.18

81,20:00-20:15,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,10.560000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1932.63

82,20:15-20:30,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,10.560000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1932.63

83,20:30-20:45,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1922.07

84,20:45-21:00,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.000000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1920.07

85,21:00-21:15,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.000000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,38.530000,20.470000,26.270000,81.880000,0.000000,1958.6

86,21:15-21:30,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.000000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,38.530000,20.470000,26.270000,81.880000,0.000000,1958.6

87,21:30-21:45,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.000000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,38.530000,20.470000,26.270000,81.880000,0.000000,1958.6

88,21:45-22:00,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,0.000000,66.650000,0.360000,1.590000,0.000000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.000000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,38.530000,20.470000,26.270000,81.880000,0.000000,1958.6

89,22:00-22:15,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.500000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,72.250000,81.880000,67.430000,20.470000,26.270000,81.880000,0.000000,2144.69

90,22:15-22:30,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,43.350000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.500000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,72.250000,81.880000,67.430000,20.470000,26.270000,81.880000,0.000000,2144.69

91,22:30-22:45,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.500000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,144.500000,81.880000,67.430000,20.470000,26.270000,81.880000,0.000000,2241.02

92,22:45-23:00,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.870000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,18.010000,20.710000,7.710000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.500000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,144.500000,81.880000,67.430000,20.470000,26.270000,81.880000,0.000000,2241.02

93,23:00-23:15,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,18.010000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.500000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,192.660000,81.880000,67.430000,20.470000,26.270000,81.880000,0.000000,2288.17

94,23:15-23:30,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,18.010000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.500000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,192.660000,81.880000,67.430000,20.470000,26.270000,81.880000,0.000000,2288.17

95,23:30-23:45,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,18.010000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.500000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,192.660000,81.880000,67.430000,20.470000,26.270000,81.880000,0.000000,2288.17

96,23:45-24:00,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.820000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,18.010000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,0.000000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,30.500000,134.860000,0.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,192.660000,81.880000,67.430000,20.470000,26.270000,81.880000,0.000000,2288.17

