Time,Block,NR/2024/22099/C,NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21087/A/29727,NR/2024/22093/C,NR/2024/22104/C,NR/2024/21062/A/29697,NR/30092023/26122029/SH-06,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21076/A/29968,NR/2024/22105/C,NR/2024/21141/A/29653,NR/2024/20574/A/29693,NR/2024/21159/A/29717,NR/2024/21150/A/29721,NR/2024/22106/C,NR/2024/21173/A/29725,NR/2024/21158/A/29719,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21160/A/29718,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21199/A/29837,NR/2024/21108/A/29918,NR/2024/21567/A/29902,NR/2024/19779/A/29683,NR/2024/21153/A/29724,NR/2024/21152/A/29597,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21146/A/29723,NR/2024/21238/A/29963,NR/2024/21210/A/29649,NR/30092023/31122025/SH-07,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22097/C,NR/2024/20688/A/29831,NR/2024/22085/C,NR/2024/21144/A/29681,NR/2024/22087/C,NR/2024/22131/C,NR/2024/22088/C,NR/2024/21142/A/29651,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/20711/A/29895,NR/2024/22102/C,NR/2024/21023/A/29838,NR/2024/20573/A/29692,NR/2024/21227/A/29922,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21113/A/29903,NR/2024/20931/A/29876,NR/2024/21096/A/29924,NR/2024/21075/A/29969,NR/2024/21978/A/29506,NR/2024/22172/C,NR/31072024/31072024/IEX_240730_01784,NR/2024/20966/A/29602,NR/2024/21183/A/29964,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21682/A/29894,NR/2024/21103/A/29923,NR/2024/21156/A/29726,NR/2024/21099/A/29655,NR/2024/21072/A/29905,NR/2024/21089/A/29904,NR/2024/21339/A/29645,NR/2024/21186/A/29921,NR/2024/22130/C,NR/2024/21148/A/29722,Total
61,15:00-15:15,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,16.670000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,16.670000,0.000000,48.160000,66.280000,163.980000,0.480000,4.05,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1781.36

62,15:15-15:30,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,16.670000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,16.670000,0.000000,48.160000,66.280000,163.980000,0.480000,3.85,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1781.16

63,15:30-15:45,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,1.350000,0.000000,48.160000,66.280000,163.980000,0.480000,3.43,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1780.75

64,15:45-16:00,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.960000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,1.350000,0.000000,48.160000,66.280000,163.980000,0.480000,3.08,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1780.4

65,16:00-16:15,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.820000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,13.950000,0.000000,48.160000,66.280000,163.980000,0.480000,2.7,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1792.48

66,16:15-16:30,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.820000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,13.950000,0.000000,48.160000,66.280000,163.980000,0.480000,2.12,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1791.9

67,16:30-16:45,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.820000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,13.950000,0.000000,48.160000,66.280000,163.980000,0.480000,1.76,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1791.54

68,16:45-17:00,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.820000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,13.950000,0.000000,48.160000,66.280000,163.980000,0.480000,1.51,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,13.610000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.610000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1791.29

69,17:00-17:15,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.820000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,16.130000,0.000000,48.160000,66.280000,163.980000,0.480000,1.32,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,14.070000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1793.13

70,17:15-17:30,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,32.000000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.820000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,16.130000,0.000000,48.160000,66.280000,163.980000,0.480000,1.13,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,14.070000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1792.94

71,17:30-17:45,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,16.670000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.670000,12.410000,0.000000,0.000000,0.970000,0.000000,72.240000,24.000000,12.410000,0.820000,1.590000,1.930000,0.000000,0.360000,2.890000,48.160000,16.670000,0.000000,48.160000,66.280000,163.980000,0.480000,0.92,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,14.990000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.520000,1778.86

72,17:45-18:00,0.000000,0.000000,14.720000,24.080000,24.080000,0.000000,24.080000,16.670000,0.000000,90.540000,0.000000,0.000000,0.000000,0.880000,0.880000,72.240000,24.080000,0.000000,12.410000,0.000000,0.000000,0.000000,0.000000,72.240000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,16.670000,0.000000,48.160000,66.280000,163.980000,0.000000,0.81,0,27.930000,48.160000,0.000000,96.320000,0.000000,96.320000,0.000000,0.000000,14.990000,37.210000,48.160000,24.080000,11.700000,12.520000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,96.320000,48.160000,0.000000,0.000000,1774.16

73,18:00-18:15,0.000000,24.080000,14.720000,24.080000,24.080000,0.000000,0.000000,32.000000,96.320000,90.540000,0.000000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,1.350000,0.000000,48.160000,66.280000,163.980000,0.000000,0.58,0,27.930000,48.160000,72.240000,96.320000,0.000000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,24.080000,0.000000,11.560000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,1807.66

74,18:15-18:30,0.000000,24.080000,14.720000,24.080000,24.080000,0.000000,0.000000,32.000000,96.320000,90.540000,0.000000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,1.350000,0.000000,48.160000,66.280000,163.980000,0.000000,0.29,0,27.930000,48.160000,72.240000,96.320000,0.000000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,24.080000,0.000000,11.560000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,1807.37

75,18:30-18:45,0.000000,24.080000,14.720000,24.080000,24.080000,0.000000,0.000000,32.000000,96.320000,90.540000,0.000000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0.21,0,27.930000,48.160000,72.240000,96.320000,0.000000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,11.560000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,1857.2

76,18:45-19:00,0.000000,24.080000,14.720000,24.080000,24.080000,0.000000,0.000000,32.000000,96.320000,90.540000,0.000000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,27.930000,48.160000,72.240000,96.320000,0.000000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,11.560000,0.000000,0.000000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,1856.99

77,19:00-19:15,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,11.560000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2076.79

78,19:15-19:30,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,11.560000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2076.79

79,19:30-19:45,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,11.560000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2076.79

80,19:45-20:00,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,11.560000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2076.79

81,20:00-20:15,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,11.560000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2076.84

82,20:15-20:30,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,11.560000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2076.84

83,20:30-20:45,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,10.600000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2075.88

84,20:45-21:00,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,10.600000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2075.88

85,21:00-21:15,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,10.600000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2075.88

86,21:15-21:30,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,10.600000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2075.88

87,21:30-21:45,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,10.600000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2075.88

88,21:45-22:00,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,0.000000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,0.000000,0.000000,15.450000,37.210000,0.000000,43.340000,0.000000,10.600000,0.000000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2075.88

89,22:00-22:15,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,12.040000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,36.120000,12.180000,14.990000,37.210000,0.000000,43.340000,0.000000,10.600000,48.160000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2183.92

90,22:15-22:30,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,12.040000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,32.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,0,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,36.120000,12.180000,14.990000,37.210000,0.000000,43.340000,0.000000,10.600000,48.160000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2183.92

91,22:30-22:45,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,12.040000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,0.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,14.45,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,36.120000,12.180000,14.990000,37.210000,0.000000,67.420000,0.000000,10.600000,48.160000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2190.45

92,22:45-23:00,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,12.040000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.870000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,0.000000,0.000000,48.160000,66.280000,163.980000,0.000000,0,14.45,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,36.120000,12.180000,14.990000,37.210000,0.000000,67.420000,0.000000,10.600000,48.160000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2190.45

93,23:00-23:15,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,12.040000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,0.000000,0.000000,48.160000,66.370000,163.980000,0.000000,0,14.35,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,36.120000,12.180000,14.530000,37.210000,0.000000,67.420000,0.000000,9.630000,48.160000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2188.96

94,23:15-23:30,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,12.040000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,0.000000,0.000000,48.160000,66.370000,163.980000,0.000000,0,14.06,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,36.120000,12.180000,14.530000,37.210000,0.000000,67.420000,0.000000,9.630000,48.160000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2188.67

95,23:30-23:45,24.080000,24.080000,14.720000,24.080000,24.080000,28.900000,0.000000,32.000000,96.320000,90.540000,37.560000,47.680000,12.040000,0.000000,0.000000,72.240000,24.080000,0.000000,12.410000,0.000000,96.320000,0.000000,48.160000,0.000000,24.000000,12.410000,0.820000,0.000000,1.930000,0.000000,0.000000,2.890000,48.160000,0.000000,0.000000,48.160000,66.370000,163.980000,0.000000,0,13.68,19.260000,48.160000,72.240000,96.320000,20.710000,0.000000,36.120000,12.180000,14.530000,37.210000,0.000000,67.420000,0.000000,9.630000,48.160000,117.220000,4.820000,21.190000,0.000000,240.800000,83.970000,0.000000,24.080000,37.210000,37.210000,0.000000,48.160000,0.000000,0.000000,2188.29

