Block,Time,BRBCL,KHSTPP-I,RSTPSU1TO6,SIMHST1,TANAKPUR,URI,AURY_RF,CHAMERA2,CHAMERA3,NLCTS2EXP,NTPL,UNCHAHAR2,UNCHAHAR4,URI2,AURY_CRF,KOLDAM,KOTESHWR,NJPC,RAPPC,RSTPSU7,SEWA2,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR3,AURY_GF,DADRI_CRF,DADRI_LF,CHAMERA1,JHAJJAR,KGSU3AND4,KKNPPU2,RIHAND2,SALAL,AURY_LF,BSIUL,DHAULIGNGA,KISHANGANGA,SASAN,UNCHAHAR1,ANTA_GF,ANTA_RF,KKNP,KUDGI,NLCEXP,NLCIIST1,RIHAND1,RIHAND3,SIMHST2,VALLURNTECL,ANTA_CRF,ANTA_LF,DADRI_GF,DADRT2,DULHASTI,KGSU1AND2,KHSTPP-II,MAPS,NNTPP,SINGRAULI,TALA,TEHRI,DADRI_RF,FSTPP I & II,NAPP,NLCIIST2,PARBATI3,RAMPUR,RAPPB,TALST2,TANDA2
47,11:30-11:45,20,45.53,0,0,0,0.55,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.71,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,42.52,0,0,0,0,92,36.28,0,0,0,0,0,683.14,0,0,148.3,0,0,139.69,0,25.2,90.42,20.8,43.79,0,0,0,0,0,0

48,11:45-12:00,20,45.53,0,0,0,0.55,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.71,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,42.32,0,0,0,0,92,36.28,0,0,0,0,0,683.14,0,0,148.3,0,0,139.69,0,25.2,90.42,20.8,43.79,0,0,0,0,0,0

49,12:00-12:15,20,45.53,0,0,0,0.55,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.71,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,42.32,0,0,0,0,92,36.28,0,0,0,0,0,683.14,0,0,148.3,0,0,139.69,0,25.2,90.42,20.8,43.79,0,0,0,0,0,0

50,12:15-12:30,20,45.53,0,0,0,0.55,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.71,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,42,0,0,0,0,92,36.28,0,0,0,0,0,683.14,0,0,148.3,0,0,139.69,0,12.54,90.42,20.8,43.79,0,0,0,0,0,0

51,12:30-12:45,20,45.53,0,0,0,11.59,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.71,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,41.9,0,0,0,0,92,36.28,0,0,0,0,0,683.14,0,0,148.3,0,0,139.69,0,0,90.42,20.8,43.79,0,0,0,0,0,0

52,12:45-13:00,20,45.53,0,0,0,11.59,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.71,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,41.9,0,0,0,0,92,36.28,0,0,0,0,0,683.14,0,0,148.3,0,0,139.69,0,0,90.42,20.8,43.79,0,0,0,0,0,0

53,13:00-13:15,20,45.53,0,0,0,0.55,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.71,0,0,0,0,0,0,434.65,0,0,118.76,9.29,0,0,0,0,418.77,19.98,0,41.9,0,0,0,0,92,36.28,0,0,0,0,0,683.14,0,0,148.3,0,0,139.69,0,0,90.42,20.8,43.79,0,0,0,0,0,0

54,13:15-13:30,20,45.53,0,0,0,0.55,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.71,0,0,0,0,0,0,434.65,0,0,118.76,55.77,0,0,0,0,418.77,19.98,0,41.68,0,0,0,0,92,36.28,0,0,0,0,0,683.14,0,0,148.3,0,0,139.69,0,0,90.42,20.8,43.79,0,0,0,0,0,0

